cnt_match,cons,draw,goal,lose,place,season,team_name,win
38,27,5,83,5,1,1,Манчестер Юнайтед,28
38,24,11,64,3,2,1,Челси,24
38,27,8,57,10,3,1,Ливерпуль,20
38,35,11,63,8,4,1,Арсенал,19
38,54,9,57,12,5,1,Тоттенхэм,17
38,36,13,52,10,6,1,Эвертон,15
38,52,8,47,14,7,1,Болтон,16
38,47,7,52,15,8,1,Рединг,16
38,42,12,45,12,9,1,Портсмут,14
38,54,7,52,16,10,1,Блэкберн,15
38,41,17,43,10,11,1,Астон Вилла,11
38,49,10,44,16,12,1,Мидлсбро,12
38,47,10,38,17,13,1,Ньюкасл,11
38,44,9,29,18,14,1,Манчестер Сити,11
38,59,5,35,21,15,1,Вест Хэм,12
38,60,15,38,15,16,1,Фулхэм,8
38,59,8,37,20,17,1,Уиган,10
38,55,8,32,20,18,1,Шеффилд Юнайтед,10
38,60,10,34,20,19,1,Чарльтон,8
38,59,13,29,20,20,1,Уотфорд,5
38,22,6,80,5,1,2,Манчестер Юнайтед,27
38,26,10,65,3,2,2,Челси,25
38,31,11,74,3,3,2,Арсенал,24
38,28,13,67,4,4,2,Ливерпуль,21
38,33,8,55,11,5,2,Эвертон,19
38,51,12,71,10,6,2,Астон Вилла,16
38,48,13,50,10,7,2,Блэкберн,15
38,40,9,48,13,8,2,Портсмут,16
38,53,10,45,13,9,2,Манчестер Сити,15
38,50,10,42,15,10,2,Вест Хэм,13
38,61,13,66,14,11,2,Тоттенхэм,11
38,65,10,45,17,12,2,Ньюкасл,11
38,53,12,43,16,13,2,Мидлсбро,10
38,51,10,34,18,14,2,Уиган,10
38,59,6,36,21,15,2,Сандерленд,11
38,54,10,36,19,16,2,Болтон,9
38,60,12,38,18,17,2,Фулхэм,8
38,66,6,41,22,18,2,Рединг,10
38,62,11,46,19,19,2,Бирмингем,8
38,89,8,20,29,20,2,Дерби,1
38,24,6,68,4,1,3,Манчестер Юнайтед,28
38,27,11,77,2,2,3,Ливерпуль,25
38,24,8,68,5,3,3,Челси,25
38,37,12,68,6,4,3,Арсенал,20
38,37,12,55,9,5,3,Эвертон,17
38,48,11,54,10,6,3,Астон Вилла,17
38,34,11,39,13,7,3,Фулхэм,14
38,45,9,45,15,8,3,Тоттенхэм,14
38,45,9,42,15,9,3,Вест Хэм,14
38,50,5,58,18,10,3,Манчестер Сити,15
38,45,9,34,17,11,3,Уиган,12
38,55,9,38,17,12,3,Стоук,12
